dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
FASHION,0,LIF,5,0,2.7556380000023637,LeNet,3.3710710409795865
FASHION,0,ParaLIF,5,0,3.067251665983349,LeNet,3.3710710409795865
FASHION,0,LIF,5,1,3.821943042014027,LeNet,3.3710710409795865
FASHION,0,ParaLIF,5,1,3.507625290978467,LeNet,3.3710710409795865
FASHION,0,LIF,5,2,4.864221874973737,LeNet,3.3710710409795865
FASHION,0,ParaLIF,5,2,3.502752208005404,LeNet,3.3710710409795865
FASHION,0,LIF,5,3,5.60930183401797,LeNet,3.3710710409795865
FASHION,0,ParaLIF,5,3,3.67116066699964,LeNet,3.3710710409795865
FASHION,0,LIF,10,0,3.117807875009021,LeNet,3.3710710409795865
FASHION,0,ParaLIF,10,0,3.688379166007507,LeNet,3.3710710409795865
FASHION,0,LIF,10,1,4.78033329101163,LeNet,3.3710710409795865
FASHION,0,ParaLIF,10,1,3.2151944170182105,LeNet,3.3710710409795865
FASHION,0,LIF,10,2,6.717830207984662,LeNet,3.3710710409795865
FASHION,0,ParaLIF,10,2,3.629683832987211,LeNet,3.3710710409795865
FASHION,0,LIF,10,3,8.424677583010634,LeNet,3.3710710409795865
FASHION,0,ParaLIF,10,3,3.706262749998132,LeNet,3.3710710409795865
FASHION,0,LIF,20,0,3.4640855829929933,LeNet,3.3710710409795865
FASHION,0,ParaLIF,20,0,3.566542666987516,LeNet,3.3710710409795865
FASHION,0,LIF,20,1,6.946893791988259,LeNet,3.3710710409795865
FASHION,0,ParaLIF,20,1,4.1869553749857005,LeNet,3.3710710409795865
FASHION,0,LIF,20,2,10.440588375000516,LeNet,3.3710710409795865
FASHION,0,ParaLIF,20,2,5.6535125840164255,LeNet,3.3710710409795865
FASHION,0,LIF,20,3,13.985090292000676,LeNet,3.3710710409795865
FASHION,0,ParaLIF,20,3,6.396196832996793,LeNet,3.3710710409795865
FASHION,0,LIF,30,0,3.7532332080008928,LeNet,3.3710710409795865
FASHION,0,ParaLIF,30,0,4.489470542001072,LeNet,3.3710710409795865
FASHION,0,LIF,30,1,8.869452208018629,LeNet,3.3710710409795865
FASHION,0,ParaLIF,30,1,5.931483083026251,LeNet,3.3710710409795865
FASHION,0,LIF,30,2,14.28715354099404,LeNet,3.3710710409795865
FASHION,0,ParaLIF,30,2,8.24050745801651,LeNet,3.3710710409795865
FASHION,0,LIF,30,3,21.662358665984357,LeNet,3.3710710409795865
FASHION,0,ParaLIF,30,3,9.559458708012244,LeNet,3.3710710409795865
FASHION,0,LIF,50,0,4.516692916979082,LeNet,3.3710710409795865
FASHION,0,ParaLIF,50,0,5.007334333990002,LeNet,3.3710710409795865
FASHION,0,LIF,50,1,14.017194165993716,LeNet,3.3710710409795865
FASHION,0,ParaLIF,50,1,10.616272125014802,LeNet,3.3710710409795865
FASHION,0,LIF,50,2,22.760133041010704,LeNet,3.3710710409795865
FASHION,0,ParaLIF,50,2,14.562126832985086,LeNet,3.3710710409795865
FASHION,0,LIF,50,3,31.0169150409929,LeNet,3.3710710409795865
FASHION,0,ParaLIF,50,3,16.475873165996745,LeNet,3.3710710409795865
FASHION,0,LIF,100,0,6.213387458003126,LeNet,3.3710710409795865
FASHION,0,ParaLIF,100,0,4.069887083984213,LeNet,3.3710710409795865
FASHION,0,LIF,100,1,24.95617104199482,LeNet,3.3710710409795865
FASHION,0,ParaLIF,100,1,20.965051541978028,LeNet,3.3710710409795865
FASHION,0,LIF,100,2,42.604423665994545,LeNet,3.3710710409795865
FASHION,0,ParaLIF,100,2,28.124881416995777,LeNet,3.3710710409795865
FASHION,0,LIF,100,3,61.41253933298867,LeNet,3.3710710409795865
FASHION,0,ParaLIF,100,3,31.765443584008608,LeNet,3.3710710409795865
FASHION,1,LIF,5,0,2.7598032909736503,LeNet,3.110999416996492
FASHION,1,ParaLIF,5,0,3.225336083007278,LeNet,3.110999416996492
FASHION,1,LIF,5,1,4.065013707993785,LeNet,3.110999416996492
FASHION,1,ParaLIF,5,1,3.3015861670137383,LeNet,3.110999416996492
FASHION,1,LIF,5,2,4.871248332987307,LeNet,3.110999416996492
FASHION,1,ParaLIF,5,2,3.608088790992042,LeNet,3.110999416996492
FASHION,1,LIF,5,3,5.818559209001251,LeNet,3.110999416996492
FASHION,1,ParaLIF,5,3,3.9498928749817424,LeNet,3.110999416996492
FASHION,1,LIF,10,0,3.5035192079958506,LeNet,3.110999416996492
FASHION,1,ParaLIF,10,0,3.4324501660012174,LeNet,3.110999416996492
FASHION,1,LIF,10,1,5.123435874993447,LeNet,3.110999416996492
FASHION,1,ParaLIF,10,1,3.4632729580043815,LeNet,3.110999416996492
FASHION,1,LIF,10,2,6.930415792012354,LeNet,3.110999416996492
FASHION,1,ParaLIF,10,2,3.831839916994795,LeNet,3.110999416996492
FASHION,1,LIF,10,3,8.71768987501855,LeNet,3.110999416996492
FASHION,1,ParaLIF,10,3,3.921580124995671,LeNet,3.110999416996492
FASHION,1,LIF,20,0,3.629733167006634,LeNet,3.110999416996492
FASHION,1,ParaLIF,20,0,3.3846697919943836,LeNet,3.110999416996492
FASHION,1,LIF,20,1,7.135760000004666,LeNet,3.110999416996492
FASHION,1,ParaLIF,20,1,4.14081304098363,LeNet,3.110999416996492
FASHION,1,LIF,20,2,10.886233875004107,LeNet,3.110999416996492
FASHION,1,ParaLIF,20,2,5.649944874981884,LeNet,3.110999416996492
FASHION,1,LIF,20,3,14.88274616599665,LeNet,3.110999416996492
FASHION,1,ParaLIF,20,3,6.453004874987528,LeNet,3.110999416996492
FASHION,1,LIF,30,0,3.945854416990187,LeNet,3.110999416996492
FASHION,1,ParaLIF,30,0,3.5146553330123425,LeNet,3.110999416996492
FASHION,1,LIF,30,1,9.28759166697273,LeNet,3.110999416996492
FASHION,1,ParaLIF,30,1,5.8000400000019,LeNet,3.110999416996492
FASHION,1,LIF,30,2,14.95374745799927,LeNet,3.110999416996492
FASHION,1,ParaLIF,30,2,8.087208875018405,LeNet,3.110999416996492
FASHION,1,LIF,30,3,20.943135082983645,LeNet,3.110999416996492
FASHION,1,ParaLIF,30,3,9.183920541021507,LeNet,3.110999416996492
FASHION,1,LIF,50,0,4.4527838329959195,LeNet,3.110999416996492
FASHION,1,ParaLIF,50,0,3.86563237500377,LeNet,3.110999416996492
FASHION,1,LIF,50,1,13.59341666699038,LeNet,3.110999416996492
FASHION,1,ParaLIF,50,1,10.412190375005594,LeNet,3.110999416996492
FASHION,1,LIF,50,2,22.294873915991047,LeNet,3.110999416996492
FASHION,1,ParaLIF,50,2,14.398864292015787,LeNet,3.110999416996492
FASHION,1,LIF,50,3,31.363822209008504,LeNet,3.110999416996492
FASHION,1,ParaLIF,50,3,16.29044862498995,LeNet,3.110999416996492
FASHION,1,LIF,100,0,5.990949875005754,LeNet,3.110999416996492
FASHION,1,ParaLIF,100,0,3.374020291987108,LeNet,3.110999416996492
FASHION,1,LIF,100,1,24.562925917009125,LeNet,3.110999416996492
FASHION,1,ParaLIF,100,1,20.323871333996067,LeNet,3.110999416996492
FASHION,1,LIF,100,2,43.06682800000999,LeNet,3.110999416996492
FASHION,1,ParaLIF,100,2,28.34929574999842,LeNet,3.110999416996492
