model,epochs_trained,extraction_layer,attack,epsilon,susceptibility_rate,train_accuracy,test_accuracy,baseline_model,baseline_train_accuracy,baseline_test_accuracy,baseline_susceptibility_rate,dataset
GeneralParaLIF,5,0,LInfFMNAttack,0.01,0.0519247985675917,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralParaLIF,5,1,LInfFMNAttack,0.01,0.0223015165031222,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralParaLIF,5,2,LInfFMNAttack,0.01,0.008667388949079,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralParaLIF,5,3,LInfFMNAttack,0.01,0.0087412587412587,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralParaLIF,5,4,LInfFMNAttack,0.01,0.0408163265306122,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralSNN,5,0,LInfFMNAttack,0.01,0.0344827586206896,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralSNN,5,1,LInfFMNAttack,0.01,0.0189873417721519,0.87765,0.8792,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralSNN,5,2,LInfFMNAttack,0.01,0.0095846645367412,0.98735,0.9841,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralSNN,5,3,LInfFMNAttack,0.01,0.0039682539682539,0.9928333333333332,0.9871,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralSNN,5,4,LInfFMNAttack,0.01,0.0520325203252032,0.9571166666666666,0.9527,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.0087509944311853,MNIST
GeneralParaLIF,5,0,LInfFMNAttack,0.05,0.4077669902912621,0.8801166666666667,0.8791,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralParaLIF,5,1,LInfFMNAttack,0.05,0.2682926829268293,0.8815333333333333,0.8803,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralParaLIF,5,2,LInfFMNAttack,0.05,0.0761478163493841,0.7037333333333333,0.7044,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralParaLIF,5,3,LInfFMNAttack,0.05,0.0328596802841918,0.8931166666666667,0.8893,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralParaLIF,5,4,LInfFMNAttack,0.05,0.1057851239669421,0.95605,0.9502,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
GeneralSNN,5,0,LInfFMNAttack,0.05,0.2338262476894639,0.8434,0.8443,LeNet5_Representations_Flexible,0.9928166666666668,0.9852,0.1509881422924901,MNIST
